Name,Latitude,Longitude
Vallithode (Mysore Iritty road),12.034871,75.713596
Ulikkal (Ulikkal jn Iritty road),12.037799,75.665455
Ulikkal (Payyavoor Ulikkal jn),12.04054,75.660808
Manna (Thaliparamba Iritty road),12.040595,75.362169
"Chiravakku, Thaliparambu (Payyannur Kannur road)",12.04193,75.355717
Sreekandapuram (Thaliparamb Sreekandapuram road),12.044914,75.50673
Payyavoor (Sreekandapuram Payyavoor road),12.060018,75.578067
Payyavoor Town,12.06026,75.581613
"Keloth, Payyannur",12.100346,75.195932
Sumangali cinemas Payyannur,12.111484,75.210374
Vankulath Vayal,11.920861,75.334701
Kannur City Hospital,11.862681,75.36932
Alakode,12.18592,75.466135
Cherupuzha,12.2717,75.360799
Thrikkaripur,12.143232,75.177462
Thankayam mukk,12.143948,75.182362
Padanna,12.177715,75.146966
Kalikadavu,12.190224,75.169052
Cheruvathur,12.216424,75.161629
Cheemeni,12.235686,75.225463
Neeleshwaram,12.25556,75.130433
Panathur,12.457685,75.353556
Choyyomkode,12.287716,75.192083
Puthiyakotta,12.311791,75.093942
Kanjangad 1,12.321242,75.086752
Kanjangad 2,12.324315,75.085506
Athinhal,12.337662,75.078493
Kalanad Jn-1,12.451513,75.021879
Madiyan,12.348491,75.073583
Chithari,12.355391,75.06968
Pallikere,12.387097,75.044575
Bakel bridge,12.401177,75.03007
Odayamchal,12.40159,75.203891
Kalanad Jn-2,12.449719,75.022649
Palakkunnu,12.42277,75.022578
Kundamkuzhi,12.457079,75.140492
Meleparmba,12.469445,75.008568
Kuttikol,12.477041,75.211227
"Madiyan Jn, Madiyan-Kulom road",12.350334,75.074037
"Old bus stand Jn, MG Road",12.500905,74.989737
Press club Jn,12.504694,74.993765
Kottacheri ROB-Beach road,12.322836,75.081675
Bovikanam,12.507377,75.095186
Cherkkala Jn,12.508886,75.055083
Cherkkala,12.508924,75.055216
Hosdurg(Puthyakotta),12.31446,75.091357
"TB road, Kanhangad",12.31429,75.091028
Ballath(Chammattam vayal Jn),12.320304,75.109091
Kottapuram(Nileswaram Rd),12.249084,75.126109
Mulleria,12.548274,75.165202
Nadakkav-Udinar Rd,12.160854,75.171329
Seethangoli,12.587238,75.001678
Badiadka 2,12.588955,75.07359
Badiadka 1,12.591526,75.072752
Kumbla 2,12.592714,74.946532
Kumbla 1,12.592853,74.945797
Bandiyod,12.640146,74.929356
"Uppala-Bekur Road, Kaikumba",12.664898,74.921597
Perla,12.637022,75.102964
Hosangadi,12.705892,74.905156
Bandadka,12.498763,75.267684
