Name,Latitude,Longitude
"Nellimuttilpadi Jn, Sasthamkotta road",9.139659,76.733111
"Ezhamkulam Jn, Adoor road",9.144921,76.768146
Adoor Jn,9.152474,76.735644
"High school Jn, Adoor",9.161539,76.720839
"Anandapally Jn, Pathanamthitta road",9.176366,76.741549
Pandalam Medical mission Jn,9.216957,76.681108
"Konni, Pathanapuram road",9.221877,76.850946
"Pandalam, Kaippattoor road",9.223666,76.683185
"MC road, Kulanada",9.242484,76.672368
"Omallur, Puthenpeedika, Pathanamthitta road",9.254415,76.761954
Pathanamthitta Stadium Jn,9.261275,76.782068
Parumala Church Junction,9.326112,76.53661
"Aban Jn, Sabarimala road",9.26548,76.790159
"Elanthoor Jn, Kozhancheri road",9.30001,76.729861
"Chittar Jn, Thannithod road. Near bus stand",9.329613,76.925855
Kozhanchery. Thiruvalla road. Near bridge,9.337144,76.706238
"Vadasserikkara, Chittar road",9.337272,76.827216
"Kuttoor, Thiruvalla MCroad",9.357776,76.589015
"Valanjavattom, Kavumbhagam - Mavelikkara road -",9.358736,76.541549
Blockpady,9.361982,76.776962
"Perunad Market Jn,",9.367491,76.849412
"Podiyadi - Nedumbaram, Ambalapuzha (Edathua) - Thiruvalla road",9.367994,76.535368
"Perumbuzha, Ranni, Pathanamthitta road",9.379465,76.779661
"Cross Jn, Thiruvalla",9.380889,76.574686
Idinjillam(Kavumbhagam Road),9.408548,76.549922
"Angadimukk, Ranni. Kozhancheri road",9.382754,76.779325
"Eraviperur, Thiruvalla road",9.382893,76.638607
"Thadiyoor, Thiruvalla road",9.383039,76.706944
"Ittiyappara, Ranni",9.384908,76.783739
"Thottabhagam, Thiruvalla road",9.385841,76.610778
"Bypass road, Changanassery Road",9.388379,76.57821
"Vennikkulam, Thiruvalla road",9.390397,76.652977
Chilanga Jn,9.391944,76.577804
"Perunthuruthi, Thiruvalla - Changanassery road",9.406488,76.559752
"Chalappaly, Mallappally road",9.416455,76.728549
"Mandamaruthi Jn, Ponkunnam road",9.421429,76.79759
"Vechoochira, Mannadisala Navodaya school road",9.431754,76.851907
"Kunnanthanam Jn, Mallappally road",9.434784,76.612063
"Mallapally, Thiruvalla road",9.443949,76.651176
"Chungapara Jn, Mallappally road",9.451624,76.745523
"Nedungadappally, Changanassery road",9.462719,76.638081
Mukkada jn,9.151489,76.513843
Kayamkulam Govt Hospital Rd,9.171988,76.498481
Charumoodu,9.174855,76.612407
Pullukulangara,9.176054,76.473281
Kattanam,9.176485,76.562989
Kuttitheruvu jn,9.176729,76.525785
Muthukulam high school junction,9.213699,76.461492
mangam kuzhiyil,9.234828,76.589853
Thattarambalam,9.247363,76.52059
Choondupalaka junction muttom,9.251343,76.487977
Kollakadavu,9.252497,76.585642
Michel junction,9.253106,76.54039
Thrickunnappuzha,9.258257,76.415632
Ikya Junction,9.177174,76.4849
Madhava junction,9.283839,76.454506
Mulakuzha,9.301101,76.631504
Nangyarkulangara(Thrikkunnapuzha Road),9.259619,76.460688
"Marketjuncion,kacheri junction",9.313649,76.619142
Veeyapuram,9.318448,76.459496
Mannaar,9.325689,76.532288
Kallisseri,9.336356,76.603332
Edathua,9.36348,76.476278
Thottappalli,9.315957,76.387853
Ambalappuzha(Edathua Road),9.383509,76.357872
Valanjavazhi(SN Kavala),9.401926,76.357819
Kaichoondy,9.512952,76.338216
"Kaithavan, kalarcode",9.470422,76.344307
Valiyakulam junction,9.4819,76.331359
Zackariya bazar,9.491931,76.326308
Power house bridge,9.500572,76.328774
District court alappuzha,9.502623,76.341506
Valyachudukaad,9.475753,76.337596
Irumbu Paalam,9.496021,76.338934
Muhamma,9.604249,76.359166
Thannermukkom bund,9.677171,76.392674
Cherthala court junction,9.690197,76.343282
Kattoor,9.566642,76.308784
Shaktheeswaran Junction,9.695453,76.325799
thuravoor td junction,9.768159,76.318681
Thyckattushery ferry,9.775303,76.335696
Arookutti bridge,9.869443,76.321348
Laikadu bridge – 1,9.429685,76.544604
Laikadu Bridge – 2,9.42982,76.544536
Kattachira,9.676098,76.589123
Parelappally church,9.456794,76.552288
Kannanperoor bridge – 1,9.46987,76.529559
    Kannanperoor bridge – 2,9.470406,76.529431
Karukachal – 1,9.500775,76.635727
Karukachal – 2,9.504677,76.640656
Kanjirappally,9.560362,76.810644
"Near Police station, Ponkunnam, KK road",9.562173,76.772132
Ponkunnam Police station Pala road,9.564139,76.762276
"Kodimatha - 2, Manipuzha",9.566054,76.518615
Pala Road - Ponkunnam,9.568708,76.753304
Kodimatha – 1,9.572725,76.519613
Kottayam Kumaly road,9.588352,76.539343
KK road Kanjikuzhi,9.588589,76.536463
Kottayam Kumarakom road – 1,9.594619,76.520801
Kottayam Kumarakom road – 2,9.595179,76.517696
Nagampadom bridge – 1,9.598755,76.528686
Nagampadom bridge – 2,9.610497,76.533328
"St. Joseph church, Paika town – 2",9.653176,76.72408
Central junction – 2,9.664478,76.553777
"St. Joseph church, Paika town – 1",9.674032,76.699936
Central junction – 1,9.678426,76.557936
"Aaniyilapp, Eerattupetta",9.679143,76.788363
"Aruvithura church - 1, Erattupetta",9.685697,76.777048
"Aruvithura Church - 2, Earttupetta",9.686188,76.77715
"Near Mubarak Masjid, Nadaykkal",9.690241,76.7862
"Almanar HSS, Erattupetta",9.691043,76.782137
"Masjid noor juma masjid, Erattupetta 1",9.693217,76.770261
"Masjid Noor Juma Masjid, Erattupetta 2",9.694571,76.767193
Ponkunnam Bridge – 2,9.704482,76.684042
Head post office Pala – 2,9.705801,76.669549
Ponkunnam Bridge – 1,9.709654,76.682559
  Head post office Pala – 1,9.709763,76.67881
SRTO 1 Pala,9.711562,76.699388
SRTO 2 Pala,9.711812,76.69338
Near KSEB Pala - 1,9.717225,76.682724
RV junction Pala – 2,9.71725,76.689245
Near KSEB Pala – 2,9.720275,76.679525
RV Junction Pala – 1,9.731909,76.69261
Near Govt hospital Thalayolaparambu,9.782885,76.455084
Govt hospital junction,9.78597,76.454163
Near Thalappara junction,9.787778,76.458975
GH road,10.08829,77.060252
"Munnar,theatre bazar",10.07719,77.063012
Adimali 2,10.015773,76.953149
Adimali 1,10.014402,76.944909
Pooppara junction,9.976698,77.208778
Rajakumari,9.968621,77.15131
Rajakkad,9.962983,77.099424
Murickassery,9.913562,77.00971
Vengalloor,9.912343,76.69756
muthalakodam,9.910857,76.734234
Al azhar college,9.908105,76.72112
Vengalloor 2,9.90779,76.70811
Mangattu kavala,9.902388,76.726051
Boys high school junction,9.900422,76.721219
Kaarickode,9.900266,76.729582
Kolani parackadavu,9.899145,76.698396
Municipal park,9.89729,76.711799
Manakkad junction,9.896584,76.70566
Kanjiramattom junction,9.895991,76.718813
Karimban,9.892675,76.972181
Kolani,9.888143,76.696631
Thopramkudy,9.877691,77.056384
Mrala,9.857537,76.729575
Cheruthoni,9.843387,76.984704
Nedumkandam,9.839622,77.157403
Thankamani,9.83825,77.039494
Kattappana 2 erattayar road,9.760443,77.115092
Kattappana,9.755894,77.118938
Kanchiyar,9.745631,77.07694
Upputhura,9.697227,77.020653
Anackara,9.66284,77.159582
Wagamon,9.649876,76.926314
1st mile,9.618762,77.158186
Kuttikanam Elappara road Pallickunn,9.610816,76.968983
Kumily,9.606601,77.163427
Kuttikanam(Kuttikanam Mundakayam road),9.579295,76.970636
Vandiperiyar,9.571477,77.088822
Mundakkayam(Mundakayam Kuttikanam road),9.538994,76.901099
Aryankavu,9.848162,76.409561
Puthenkavu,9.857016,76.383643
Aroor  Thoppumpadi  road,9.887246,76.29822
Kumbalam Panangad bridge,9.910791,76.316509
Aroor,9.914416,76.583409
Nettoor,9.915166,76.3168
Udyamperoor,9.917132,76.362633
Near Alexander Parampithara bridge,9.929488,76.29045
Parippu jn,9.93549,76.252846
Thiruvankulam,9.945604,76.369772
Karigachira,9.952464,76.358681
Aavoli,9.954177,76.627873
Anicadu,9.962006,76.617624
Irumbanam,9.965175,76.357405
Valakom,9.978252,76.530217
Mudickal,9.978716,76.579324
Muvattupuzha pvt bus stand,9.979157,76.586806
Marine drive,9.980284,76.275579
Kaalamukku,9.985372,76.240722
Kadathi,9.986201,76.565982
Kakkadasseri,9.997385,76.598796
Vazhappally,9.997955,76.572081
Pattimattom,10.024084,76.454118
Njarackal,10.038527,76.219748
Mannoor,10.044988,76.53393
Keezhillam,10.049701,76.532729
Oonukal,10.0522,76.705646
Vimalagiri College junction,10.058985,76.615485
Kozhippalli,10.060205,76.635844
Arackapadi,10.064354,76.461797
Kothamangalam Govt hospital,10.066309,76.617274
Nangeli padi,10.069833,76.60162
Varappuzha bridge – 1,10.077112,76.27662
Varappuzha bridge – 2,10.079299,76.27416
Odackali,10.089359,76.564312
Thaqua nagar Thandekad,10.096947,76.450369
Koonammavu,10.101289,76.26535
Cherukunnam,10.101479,76.541796
Paathipalam,10.107731,76.475711
Perumbavoor signal MC road,10.111429,76.479071
AM road Perumbavoor – 2,10.114528,76.470115
Iringol,10.115581,76.50088
AM road Perumbavoor – 1,10.116158,76.484619
Muvattupuzha KSRTC junction,10.116601,76.445595
Kaduval jn,10.122996,76.473386
Cherayi padam,10.141113,76.203198
Perumpadanna North Paravoor,10.141113,76.203198
Mannam,10.146208,76.25462
Thamara valavu North Paravoor,10.149824,76.242192
Manjali bridge,10.1534,76.273075
Athani,10.155668,76.352835
"Nayathodu, Mattor  airport  road",10.163584,76.403794
Mattoor,10.170065,76.43075
Kalady Malayattoor road,10.170216,76.44492
Malliankara,10.17426,76.181373
TELK – 2,10.178056,76.378139
TELK - 1,10.178057,76.37815
Moothakunnam,10.182805,76.204886
Vengoor,10.183973,76.405955
Angamaly nh jn,10.192972,76.386875
Angadikadvu,10.196727,76.382656
Kidangoor,10.198417,76.396037
Karayamparambu – 1,10.205328,76.382574
Karayamparambu – 2,10.205568,76.382072
Valiyapanikan Thuruth,10.196812,76.200652
Methala (Actual Location Arakulam),10.212504,76.197451
Ubazar-Eriyad,10.228195,76.174506
North nada-Kodungalloor,10.228454,76.198316
Maala,10.240563,76.271499
Karupadanna(Konathkunn),10.275524,76.21022
Mathilmoola,10.28144,76.17076
Mathilakam,10.293174,76.160817
Thriprayar Temple Gate,10.414214,76.113296
Edathirinji-Irinjalakuda,10.34084,76.203203
RS road-Irinjalakuda(Don bosco view road),10.343678,76.22512
Irinjalakuda,10.347069,76.212382
SN Nagar-Irinjalakuda,10.357114,76.218667
Valappad,10.396695,76.11573
Thalikulam,10.439972,76.095139
Vadanappalli-Puthukulangara,10.46192,76.083932
Arimbur,10.497685,76.151752
Kuriyachira,10.498372,76.22837
Chettupuzha Bridge,10.498849,76.164243
Ancherichira,10.504741,76.246813
Nadathara 2,10.513337,76.258434
